daytype	hourtype	location
weekday	morning	campus
weekday	morning	campus
weekday	afternoon	restaurant
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	evening	office
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	morning	home
weekday	morning	home
weekday	morning	home
weekday	morning	office
weekday	morning	office
weekday	morning	restaurant
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	evening	office
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	morning	home
weekday	morning	home
weekday	morning	home
weekday	morning	home
weekday	morning	office
weekday	morning	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	morning	home
weekday	morning	home
weekday	morning	home
weekday	morning	office
weekday	morning	office
weekday	morning	office
weekday	afternoon	restaurant
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	night	home
weekday	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	evening	store
weekend	evening	store
weekend	evening	home
weekend	evening	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	afternoon	home
weekend	afternoon	restaurant
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	evening	home
weekend	evening	home
weekend	evening	home
weekend	evening	home
weekend	night	home
weekend	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	morning	home
weekday	morning	home
weekday	morning	campus
weekday	morning	campus
weekday	morning	campus
weekday	morning	campus
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	campus
weekday	afternoon	campus
weekday	evening	campus
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	morning	home
weekday	morning	home
weekday	morning	home
weekday	morning	home
weekday	morning	office
weekday	morning	office
weekday	afternoon	restaurant
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	evening	office
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	morning	home
weekday	morning	home
weekday	morning	campus
weekday	morning	campus
weekday	morning	campus
weekday	morning	office
weekday	afternoon	office
weekday	afternoon	restaurant
weekday	afternoon	office
weekday	afternoon	campus
weekday	afternoon	campus
weekday	afternoon	home
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	morning	home
weekday	morning	home
weekday	morning	home
weekday	morning	office
weekday	morning	office
weekday	morning	office
weekday	afternoon	restaurant
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	morning	home
weekday	morning	home
weekday	morning	home
weekday	morning	office
weekday	morning	office
weekday	morning	office
weekday	afternoon	restaurant
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	night	home
weekday	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	evening	home
weekend	evening	home
weekend	evening	store
weekend	evening	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	evening	home
weekend	evening	home
weekend	evening	home
weekend	evening	home
weekend	night	home
weekend	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	morning	home
weekday	morning	home
weekday	morning	home
weekday	morning	office
weekday	morning	office
weekday	morning	office
weekday	afternoon	restaurant
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	morning	home
weekday	morning	home
weekday	morning	home
weekday	morning	office
weekday	morning	office
weekday	morning	office
weekday	afternoon	restaurant
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	evening	store
weekday	evening	store
weekday	evening	home
weekday	evening	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	morning	home
weekday	morning	home
weekday	morning	home
weekday	morning	home
weekday	morning	home
weekday	morning	restaurant
weekday	afternoon	home
weekday	afternoon	home
weekday	afternoon	home
weekday	afternoon	home
weekday	afternoon	home
weekday	afternoon	home
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	morning	home
weekday	morning	home
weekday	morning	home
weekday	morning	campus
weekday	morning	campus
weekday	morning	campus
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	evening	store
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	morning	home
weekday	morning	home
weekday	morning	campus
weekday	morning	campus
weekday	morning	office
weekday	morning	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	afternoon	office
weekday	evening	restaurant
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	night	home
weekday	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	evening	theater
weekend	evening	theater
weekend	evening	theater
weekend	evening	restaurant
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	night	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	morning	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	afternoon	home
weekend	evening	home
weekend	evening	home
weekend	evening	home
weekend	evening	home
weekend	night	home
weekend	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	night	home
weekday	morning	home
weekday	morning	home
weekday	morning	home
weekday	morning	home
weekday	morning	home
weekday	morning	restaurant
weekday	afternoon	home
weekday	afternoon	home
weekday	afternoon	home
weekday	afternoon	home
weekday	afternoon	home
weekday	afternoon	home
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	evening	home
weekday	night	home
weekday	night	
